player,field_pos,percentage
Peyton Manning,MYGOAL,40.4
Peyton Manning,MY20,10.7
Peyton Manning,MY30,3.6
Peyton Manning,MY40,1
Peyton Manning,MY50,4.1
Peyton Manning,YOUR40,3.8
Peyton Manning,YOUR30,-1.9
Peyton Manning,YOUR20,0.8
Peyton Manning,YOUR10,14.9
Aaron Rodgers,MYGOAL,10.4
Aaron Rodgers,MY20,17.6
Aaron Rodgers,MY30,7.1
Aaron Rodgers,MY40,2
Aaron Rodgers,MY50,3.5
Aaron Rodgers,YOUR40,10.3
Aaron Rodgers,YOUR30,11.4
Aaron Rodgers,YOUR20,11.8
Aaron Rodgers,YOUR10,9.7
Drew Brees,MYGOAL,0.4
Drew Brees,MY20,14.7
Drew Brees,MY30,4.8
Drew Brees,MY40,5.7
Drew Brees,MY50,5.7
Drew Brees,YOUR40,14.9
Drew Brees,YOUR30,5.8
Drew Brees,YOUR20,0.7
Drew Brees,YOUR10,7
Tony Romo,MYGOAL,-3.9
Tony Romo,MY20,1.8
Tony Romo,MY30,11.3
Tony Romo,MY40,11.4
Tony Romo,MY50,2.2
Tony Romo,YOUR40,-5.6
Tony Romo,YOUR30,10.4
Tony Romo,YOUR20,11.5
Tony Romo,YOUR10,17.8
Matt Ryan,MYGOAL,7.5
Matt Ryan,MY20,-7.5
Matt Ryan,MY30,8.3
Matt Ryan,MY40,2.2
Matt Ryan,MY50,8.6
Matt Ryan,YOUR40,6.4
Matt Ryan,YOUR30,-3.9
Matt Ryan,YOUR20,8.1
Matt Ryan,YOUR10,2.1
Ben Roethlisberger,MYGOAL,3.3
Ben Roethlisberger,MY20,3.9
Ben Roethlisberger,MY30,6.6
Ben Roethlisberger,MY40,6.5
Ben Roethlisberger,MY50,6.7
Ben Roethlisberger,YOUR40,6.7
Ben Roethlisberger,YOUR30,16.8
Ben Roethlisberger,YOUR20,-9
Ben Roethlisberger,YOUR10,0.8
Tom Brady,MYGOAL,-4.8
Tom Brady,MY20,-8.4
Tom Brady,MY30,6.8
Tom Brady,MY40,9
Tom Brady,MY50,-1.4
Tom Brady,YOUR40,14.6
Tom Brady,YOUR30,-0.8
Tom Brady,YOUR20,8
Tom Brady,YOUR10,6.5
Ryan Tannehill,MYGOAL,-3.2
Ryan Tannehill,MY20,5.9
Ryan Tannehill,MY30,3.7
Ryan Tannehill,MY40,4.2
Ryan Tannehill,MY50,2.2
Ryan Tannehill,YOUR40,-1.1
Ryan Tannehill,YOUR30,9.4
Ryan Tannehill,YOUR20,3.1
Ryan Tannehill,YOUR10,1.5
Eli Manning,MYGOAL,10.4
Eli Manning,MY20,-9.6
Eli Manning,MY30,7.2
Eli Manning,MY40,0.6
Eli Manning,MY50,-5.4
Eli Manning,YOUR40,0.8
Eli Manning,YOUR30,3.4
Eli Manning,YOUR20,23.1
Eli Manning,YOUR10,-9.4
Philip Rivers,MYGOAL,-8.8
Philip Rivers,MY20,0.7
Philip Rivers,MY30,6.1
Philip Rivers,MY40,4.3
Philip Rivers,MY50,1.7
Philip Rivers,YOUR40,12
Philip Rivers,YOUR30,2.6
Philip Rivers,YOUR20,4.7
Philip Rivers,YOUR10,-1.4
Joe Flacco,MYGOAL,-1.1
Joe Flacco,MY20,-2.9
Joe Flacco,MY30,8.1
Joe Flacco,MY40,-1.3
Joe Flacco,MY50,7.3
Joe Flacco,YOUR40,1.5
Joe Flacco,YOUR30,4.3
Joe Flacco,YOUR20,9.9
Joe Flacco,YOUR10,-2
Andrew Luck,MYGOAL,-3.2
Andrew Luck,MY20,-7.7
Andrew Luck,MY30,4.1
Andrew Luck,MY40,8.2
Andrew Luck,MY50,6.4
Andrew Luck,YOUR40,-9.8
Andrew Luck,YOUR30,5.1
Andrew Luck,YOUR20,10.4
Andrew Luck,YOUR10,-0.3
Jay Cutler,MYGOAL,4.2
Jay Cutler,MY20,-2.6
Jay Cutler,MY30,3.3
Jay Cutler,MY40,-9.8
Jay Cutler,MY50,3.5
Jay Cutler,YOUR40,4.5
Jay Cutler,YOUR30,-8.4
Jay Cutler,YOUR20,3.5
Jay Cutler,YOUR10,5.4
Russell Wilson,MYGOAL,10.4
Russell Wilson,MY20,12.9
Russell Wilson,MY30,-5.1
Russell Wilson,MY40,-0.1
Russell Wilson,MY50,6.3
Russell Wilson,YOUR40,-1.1
Russell Wilson,YOUR30,-8.5
Russell Wilson,YOUR20,-2.5
Russell Wilson,YOUR10,2.3
Andy Dalton,MYGOAL,-11
Andy Dalton,MY20,-0.8
Andy Dalton,MY30,4.2
Andy Dalton,MY40,-2.1
Andy Dalton,MY50,0.1
Andy Dalton,YOUR40,12.6
Andy Dalton,YOUR30,-7.1
Andy Dalton,YOUR20,-1.8
Andy Dalton,YOUR10,8.7
Colin Kaepernick,MYGOAL,19.2
Colin Kaepernick,MY20,13.4
Colin Kaepernick,MY30,-5.9
Colin Kaepernick,MY40,7
Colin Kaepernick,MY50,-7.6
Colin Kaepernick,YOUR40,-6.5
Colin Kaepernick,YOUR30,-5.4
Colin Kaepernick,YOUR20,-15.4
Colin Kaepernick,YOUR10,2.9
Alex Smith,MYGOAL,-11
Alex Smith,MY20,2.6
Alex Smith,MY30,3.4
Alex Smith,MY40,3.7
Alex Smith,MY50,-8.1
Alex Smith,YOUR40,3.1
Alex Smith,YOUR30,8.3
Alex Smith,YOUR20,-1.2
Alex Smith,YOUR10,3.2
Cam Newton,MYGOAL,-28.5
Cam Newton,MY20,0.3
Cam Newton,MY30,2.6
Cam Newton,MY40,3.2
Cam Newton,MY50,9.3
Cam Newton,YOUR40,-2.7
Cam Newton,YOUR30,5.1
Cam Newton,YOUR20,-1.9
Cam Newton,YOUR10,-5.2
Matthew Stafford,MYGOAL,10.4
Matthew Stafford,MY20,1.7
Matthew Stafford,MY30,-1.1
Matthew Stafford,MY40,-5
Matthew Stafford,MY50,-4.2
Matthew Stafford,YOUR40,5.7
Matthew Stafford,YOUR30,-12.7
Matthew Stafford,YOUR20,-12.6
Matthew Stafford,YOUR10,0.5
Derek Carr,MYGOAL,-8.8
Derek Carr,MY20,-10.2
Derek Carr,MY30,-8.4
Derek Carr,MY40,-3.9
Derek Carr,MY50,-4.4
Derek Carr,YOUR40,-7
Derek Carr,YOUR30,2.1
Derek Carr,YOUR20,-8.6
Derek Carr,YOUR10,2.6
